"Date","Price","Open","High","Low","Vol.","Change %"
"03/30/2023","101.43","100.96","101.88","100.00","22.00K","0.48%"
"03/29/2023","100.95","101.46","101.83","100.50","25.94K","-0.20%"
"03/28/2023","101.15","101.89","102.50","101.06","25.95K","-0.08%"
"03/27/2023","101.23","102.51","102.85","101.06","24.75K","-1.23%"
"03/24/2023","102.49","102.04","102.80","102.04","17.15K","0.44%"
"03/23/2023","102.04","102.10","102.19","101.58","20.32K","0.01%"
"03/22/2023","102.03","102.21","102.43","101.58","16.27K","-0.06%"
"03/21/2023","102.09","102.30","102.60","101.53","18.56K","-0.20%"
"03/20/2023","102.29","102.90","103.17","102.12","19.53K","-0.59%"
"03/17/2023","102.90","103.17","103.46","102.67","16.03K","-0.26%"
"03/16/2023","103.17","102.79","103.65","102.36","24.30K","0.19%"
"03/15/2023","102.97","102.38","103.00","102.38","19.60K","0.58%"
"03/14/2023","102.38","102.80","103.55","102.25","21.41K","-0.40%"
"03/13/2023","102.79","103.54","104.00","102.56","19.04K","-0.69%"
"03/10/2023","103.50","104.70","106.80","103.50","41.15K","-1.14%"
"03/09/2023","104.69","105.04","105.44","104.60","16.35K","-0.33%"
"03/08/2023","105.04","105.00","105.90","105.00","18.17K","0.04%"
"03/07/2023","105.00","104.96","105.50","104.57","26.25K","0.04%"
"03/06/2023","104.96","104.48","105.47","104.01","20.52K","0.46%"
"03/03/2023","104.48","102.96","104.90","102.96","23.09K","1.48%"
"03/02/2023","102.96","102.10","103.44","102.10","17.38K","0.88%"
"03/01/2023","102.06","103.19","104.49","102.00","27.36K","-1.05%"
